"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","29.017969","0","3"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","21","8","1","1","57.167244","0","37"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","42","2","1","195.326874","0","225"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","21","3","1","47.176098","0","96"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","6","2","1","7.484572","0","15"
"/Game/VRTemplate/Materials/M_VRCursor.M_VRCursor","21","2","2","1","2.346772","0","3"
"/Game/VRTemplate/Materials/M_Projectile.M_Projectile","21","21","1","1","111.079422","0","240"
"/Game/VRTemplate/Materials/DefaultRibbonMaterial_NoGradient.DefaultRibbonMaterial_NoGradient","21","10","2","1","90.370209","0","58"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","21","8","1","1","7.503168","0","38"
"/Game/StarterContent/Materials/M_Glass.M_Glass","21","44","1","1","34.855156","0","1006"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","21","63","1","1","96.136719","0","1923"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","21","63","1","1","102.682144","0","1805"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","21","63","1","1","102.435135","0","1890"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","21","2","2","1","1.155997","0","3"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","21","42","1","1","34.393639","0","865"
"/Game/FPWeapon/Materials/BaseMaterial.BaseMaterial","21","84","1","1","67.237877","0","3417"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","21","2","2","1","1.703456","0","3"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","21","84","1","1","125.965919","0","3172"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","21","63","1","1","102.981697","0","1829"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","21","84","1","1","131.825439","0","2464"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","21","63","1","1","97.182610","0","1180"
"/Engine/VREditor/Devices/Generic/GenericHMDMaterial.GenericHMDMaterial","21","21","1","1","32.877388","0","205"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","21","84","1","1","137.667175","0","2519"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","21","84","1","1","136.866653","0","1028"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","42","1","1","73.895851","0","404"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","2","2","1","1.697948","0","2"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","21","84","1","1","0.000000","0","1028"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","24","2","2","22.132273","0","123"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","4","4","1","2.961611","0","5"
"/ControlRig/M_Manip.M_Manip","21","4","1","1","2.326845","0","13"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","2","2","1","1.266130","0","3"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","21","2","2","1","1.228612","0","2"
"/OpenXR/Devices/M_XRController.M_XRController","21","42","23","3","75.404953","0","325"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","21","4","1","1","2.383243","0","10"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","21","105","1","1","77.022903","0","1626"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","21","294","1","1","496.027466","0","7531"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","21","864","1","1","1303.856323","0","52560"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","21","27","1","1","39.600445","0","200"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","21","12","1","1","9.281239","0","68"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","21","63","1","1","105.889381","0","787"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","21","44","1","1","37.262100","0","516"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","21","63","1","1","102.432434","0","760"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","21","6","1","1","5.137032","0","26"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","21","42","1","1","35.290668","0","403"
"/Game/StarterContent/Props/Materials/M_Shelf.M_Shelf","21","63","1","1","102.928070","0","905"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","21","63","1","1","104.194687","0","763"
"/Game/StarterContent/Materials/M_Water_Lake.M_Water_Lake","21","63","1","1","105.649635","0","670"
"/Game/StarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","21","63","1","1","104.804962","0","902"
"/Game/StarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","21","63","1","1","102.131866","0","858"
"/Game/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","21","63","1","1","106.839691","0","946"
"/Game/StarterContent/Materials/M_Wood_Oak.M_Wood_Oak","21","63","1","1","103.166939","0","674"
