"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","21","1045","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","2","2","1","19.371136","0","3"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","6.167791","0","3"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","4","1","1","19.757519","0","13"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","21","2","2","1","8.727450","0","3"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","21","2","2","1","9.866306","0","3"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","21","23","1","1","256.973541","0","178"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","4","1","1","19.926056","0","13"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","7.699028","0","2"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","1.491773","0","3"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","21","26","1","1","43.479992","0","344"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","21","4","1","1","1.250885","0","13"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","21","8","1","1","5.972403","0","43"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","42","2","1","84.879478","0","881"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","21","2","1","52.686878","0","228"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","2","1","1.824843","0","2"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","2","1","1.792797","0","2"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","6","6","1","16.405313","0","7"
"/Game/VRTemplate/Materials/DefaultRibbonMaterial_NoGradient.DefaultRibbonMaterial_NoGradient","21","10","1","1","11.129878","0","64"
"/Engine/VREditor/Devices/Generic/GenericHMDMaterial.GenericHMDMaterial","21","21","1","1","38.320362","0","251"
"/Game/VRTemplate/Materials/M_VRCursor.M_VRCursor","21","2","2","1","1.247473","0","3"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","21","42","1","1","77.518700","0","872"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","21","84","1","1","154.262817","0","2316"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","21","84","2","1","194.287308","0","2151"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","42","2","1","80.114906","0","594"
